Date,Ticker,Open,High,Low,Close,Volume
2025-01-02,AAPL,242,245,240,244,42000000
2025-01-03,AAPL,244,246,241,243,38000000
2025-01-06,AAPL,243,248,242,247,45000000
2025-01-07,AAPL,247,249,244,245,41000000
2025-01-08,AAPL,245,250,244,249,47000000
2025-01-09,AAPL,249,251,247,250,52000000
2025-01-10,AAPL,250,252,248,248,49000000
2025-01-13,AAPL,248,253,247,252,55000000
2025-01-14,AAPL,252,255,250,251,46000000
2025-01-15,AAPL,251,256,249,255,60000000
2025-01-02,MSFT,410,415,408,413,28000000
2025-01-03,MSFT,413,418,411,417,31000000
2025-01-06,MSFT,417,420,414,415,27000000
2025-01-07,MSFT,415,419,412,418,35000000
2025-01-08,MSFT,418,422,416,421,39000000
2025-01-09,MSFT,421,425,419,424,44000000
2025-01-10,MSFT,424,426,420,422,36000000
2025-01-13,MSFT,422,428,421,427,48000000
2025-01-14,MSFT,427,430,424,425,33000000
2025-01-15,MSFT,425,432,423,430,51000000
2025-01-02,NVDA,138,142,136,141,72000000
2025-01-03,NVDA,141,145,139,144,68000000
2025-01-06,NVDA,144,147,142,143,75000000
2025-01-07,NVDA,143,149,141,148,82000000
2025-01-08,NVDA,148,151,146,150,79000000
2025-01-09,NVDA,150,154,149,153,91000000
2025-01-10,NVDA,153,155,150,151,86000000
2025-01-13,NVDA,151,157,150,156,95000000
2025-01-14,NVDA,156,160,154,158,88000000
2025-01-15,NVDA,158,163,157,162,102000000
